area,theme,topic,learning_objective
Analytics and Modeling,Big Data & Geospatial Analysis,CyberGIS,Assess the importance and roles of cyberinfrastructure to science and engineering
Analytics and Modeling,Big Data & Geospatial Analysis,CyberGIS,Describe the conceptual foundations of cyberGIS
Analytics and Modeling,Big Data & Geospatial Analysis,CyberGIS,Explain the history of cyberinfrastructure
Analytics and Modeling,Big Data & Geospatial Analysis,Data Mining Approaches,
Analytics and Modeling,Big Data & Geospatial Analysis,Machine Learning Approaches,
Analytics and Modeling,Big Data & Geospatial Analysis,Pattern Recognition & Matching,Apply a simple spatial mean filter to an image as a means of recognizing patterns
Analytics and Modeling,Big Data & Geospatial Analysis,Pattern Recognition & Matching,Construct an edge-recognition filter
Analytics and Modeling,Big Data & Geospatial Analysis,Pattern Recognition & Matching,Design a simple spatial mean filter
Analytics and Modeling,Big Data & Geospatial Analysis,Pattern Recognition & Matching,"Differentiate among machine learning, data mining, and pattern recognition"
Analytics and Modeling,Big Data & Geospatial Analysis,Pattern Recognition & Matching,"Explain the outcome of an artificial intelligence analysis (e.g., edge recognition), including a discussion of what the human did not see that the computer identified and vice versa"
Analytics and Modeling,Big Data & Geospatial Analysis,Pattern Recognition & Matching,Explain the principles of pattern recognition
Analytics and Modeling,Big Data & Geospatial Analysis,Problems & with Large Spatial Databases,"Describe difficulties in dealing with large spatial databases, especially those arising from spatial heterogeneity. Describe some of the problems of large spatial datasets from social media."
Analytics and Modeling,Big Data & Geospatial Analysis,Problems & with Large Spatial Databases,Describe emerging geocomputation techniques for geospatial big data.
Analytics and Modeling,Big Data & Geospatial Analysis,Problems & with Large Spatial Databases,Describe the basic types of geospatial big data.
Analytics and Modeling,Big Data & Geospatial Analysis,Problems & with Large Spatial Databases,Describe the statistical limitations of large spatial databases.
Analytics and Modeling,Big Data & Geospatial Analysis,Problems & with Large Spatial Databases,Explain how to recognize contaminated data in large datasets.
Analytics and Modeling,Big Data & Geospatial Analysis,Problems & with Large Spatial Databases,Identify and explain primary methods for structuring and modeling geospatial big data.
Analytics and Modeling,Big Data & Geospatial Analysis,Rule Learning for Spatial Data Mining,Compare and contrast co-location rule learning and spatial analysis techniques for co-presence such as overlay.
Analytics and Modeling,Big Data & Geospatial Analysis,Rule Learning for Spatial Data Mining,Compare and contrast SAR learning and spatial regression for correlation analysis.
Analytics and Modeling,Big Data & Geospatial Analysis,Rule Learning for Spatial Data Mining,Define the fundamentals of co-location rule learning.
Analytics and Modeling,Big Data & Geospatial Analysis,Rule Learning for Spatial Data Mining,Describe characteristics of spatial data that affect spatial rule learning.
Analytics and Modeling,Big Data & Geospatial Analysis,Rule Learning for Spatial Data Mining,Explain the fundamentals of spatial association rule learning.
Analytics and Modeling,Building Blocks,Areal Interpolation,
Analytics and Modeling,Building Blocks,Boundaries & Zone Membership,
Analytics and Modeling,Building Blocks,Buffers,Compare and contrast how buffers are generated differently in the vector and raster data models.
Analytics and Modeling,Building Blocks,Buffers,Explain how buffers can be generated based on the concept of movement cost.
Analytics and Modeling,Building Blocks,Buffers,"Outline the circumstances in which the buffer operation is useful in different geographic analyses (clipping geographic data, visualization, and performing spatial queries)."
Analytics and Modeling,Building Blocks,Buffers,"Use riparian buffer zones as an example to discuss and compare buffer zones used in different application domains such as construction, nature conservation, and biodiversity,"
Analytics and Modeling,Building Blocks,Classification & Clustering,Apply classification methods in the univariate case.
Analytics and Modeling,Building Blocks,Classification & Clustering,Categorize classification and clustering methods used in different areas of GIS&T.
Analytics and Modeling,Building Blocks,Classification & Clustering,Compare methods used in cartographic classification.
Analytics and Modeling,Building Blocks,Classification & Clustering,Contrast the results of cartographic classifications.
Analytics and Modeling,Building Blocks,Classification & Clustering,Describe the difference between classification and clustering.
Analytics and Modeling,Building Blocks,Classification & Clustering,Explain the use of distance in classification and clustering.
Analytics and Modeling,Building Blocks,Directional Operations,Compare and contrast how direction is determined and stated in raster and vector data
Analytics and Modeling,Building Blocks,Directional Operations,Compute the mean of directional data
Analytics and Modeling,Building Blocks,Directional Operations,Define “direction” and its measurement in different angular measures
Analytics and Modeling,Building Blocks,Directional Operations,Describe operations that can be performed on qualitative representations of direction
Analytics and Modeling,Building Blocks,Directional Operations,"Describe several different measures of distance between two points (e.g., Euclidean, Manhattan, network distance, spherical)"
Analytics and Modeling,Building Blocks,Directional Operations,Estimate the fractal dimension of a sinuous line
Analytics and Modeling,Building Blocks,Directional Operations,Explain any differences in the measured direction between two places when the data are presented in a GIS in different projections
Analytics and Modeling,Building Blocks,Directional Operations,Explain how different measures of distance can be used to calculate the spatial weights matrix
Analytics and Modeling,Building Blocks,Directional Operations,Explain how fractal dimension can be used in practical applications of GIS
Analytics and Modeling,Building Blocks,Directional Operations,Explain the differences in the calculated distance between the same two places when data used are in different projections
Analytics and Modeling,Building Blocks,Directional Operations,Explain why estimating the fractal dimension of a sinuous line has important implications for the measurement of its length
Analytics and Modeling,Building Blocks,Directional Operations,"Outline the implications of differences in distance calculations on real world applications of GIS, such as routing and determining boundary lengths and service areas"
Analytics and Modeling,Building Blocks,Distance Operations,"Describe cases where the output of a distance operation would be a polygon, line, raster surface, or numeric matrix."
Analytics and Modeling,Building Blocks,Distance Operations,"Describe how a distance operation can produce a binary variable, an ordinal variable or a continuous variable."
Analytics and Modeling,Building Blocks,Distance Operations,"Describe scenarios when distance operations are required for geographical analysis (creating policy, measuring distance decay, delineating service areas, and defining likelihoods of interaction)."
Analytics and Modeling,Building Blocks,Distance Operations,"Differentiate types of distance (Euclidean, Manhattan, Network, Great Circle Distance) and describe which should be used for point-to-point measurement in different case studies involving travel, animal movement, urban applications and areal diffusion)."
Analytics and Modeling,Building Blocks,Grid Operations & Map Algebra,"Describe a real modeling situation in which map algebra would be used (e.g., site selection, climate classification, least-cost path)"
Analytics and Modeling,Building Blocks,Grid Operations & Map Algebra,Describe how map algebra performs mathematical functions on raster grids
Analytics and Modeling,Building Blocks,Grid Operations & Map Algebra,Differentiate between map algebra and matrix algebra using real examples
Analytics and Modeling,Building Blocks,Grid Operations & Map Algebra,"Explain the categories of map algebra operations (i.e., local, focal, zonal, and global functions)"
Analytics and Modeling,Building Blocks,Grid Operations & Map Algebra,Explain why georegistration is a precondition to map algebra
Analytics and Modeling,Building Blocks,Grid Operations & Map Algebra,"Perform a map algebra calculation using command line, form-based, and flow charting user interfaces"
Analytics and Modeling,Building Blocks,Length & Area Operations,Compare and contrast how direction is determined and stated in raster and vector data
Analytics and Modeling,Building Blocks,Length & Area Operations,Compute the mean of directional data
Analytics and Modeling,Building Blocks,Length & Area Operations,Define “direction” and its measurement in different angular measures
Analytics and Modeling,Building Blocks,Length & Area Operations,Describe operations that can be performed on qualitative representations of direction
Analytics and Modeling,Building Blocks,Length & Area Operations,"Describe several different measures of distance between two points (e.g., Euclidean, Manhattan, network distance, spherical)"
Analytics and Modeling,Building Blocks,Length & Area Operations,Estimate the fractal dimension of a sinuous line
Analytics and Modeling,Building Blocks,Length & Area Operations,Explain any differences in the measured direction between two places when the data are presented in a GIS in different projections
Analytics and Modeling,Building Blocks,Length & Area Operations,Explain how different measures of distance can be used to calculate the spatial weights matrix
Analytics and Modeling,Building Blocks,Length & Area Operations,Explain how fractal dimension can be used in practical applications of GIS
Analytics and Modeling,Building Blocks,Length & Area Operations,Explain the differences in the calculated distance between the same two places when data used are in different projections
Analytics and Modeling,Building Blocks,Length & Area Operations,Explain why estimating the fractal dimension of a sinuous line has important implications for the measurement of its length
Analytics and Modeling,Building Blocks,Length & Area Operations,"Outline the implications of differences in distance calculations on real world applications of GIS, such as routing and determining boundary lengths and service areas"
Analytics and Modeling,Building Blocks,Overlay & Combination Operations,Compare and contrast the concept of overlay as it is implemented in raster and vector domains
Analytics and Modeling,Building Blocks,Overlay & Combination Operations,Demonstrate how the geometric operations of intersection and overlay can be implemented in GIS
Analytics and Modeling,Building Blocks,Overlay & Combination Operations,Demonstrate why the georegistration of datasets is critical to the success of any map overlay operation
Analytics and Modeling,Building Blocks,Overlay & Combination Operations,"Exemplify applications in which overlay is useful, such as site suitability analysis"
Analytics and Modeling,Building Blocks,Overlay & Combination Operations,Explain what is meant by the term “planar enforcement”
Analytics and Modeling,Building Blocks,Overlay & Combination Operations,Explain why the process “dissolve and merge” often follows vector overlay operations
Analytics and Modeling,Building Blocks,Overlay & Combination Operations,Formalize the operation called map overlay using Boolean logic
Analytics and Modeling,Building Blocks,Overlay & Combination Operations,Outline the possible sources of error in overlay operations
Analytics and Modeling,Building Blocks,Polyline & Polygon Operations,
Analytics and Modeling,Building Blocks,Spatial & Spatiotemporal Data Models,
Analytics and Modeling,Building Blocks,Spatial Queries,
Analytics and Modeling,Building Blocks,Tesselations & Triangulations,
Analytics and Modeling,Conceptual Frameworks for Spatial Analysis & Modeling,Basic Primitives,
Analytics and Modeling,Conceptual Frameworks for Spatial Analysis & Modeling,First & Second Laws of Geography,
Analytics and Modeling,Conceptual Frameworks for Spatial Analysis & Modeling,Neighborhoods,"Describe the complexity and uncertainty in neighborhood definition, incorporating the idea of no consensus definition to fit all contexts."
Analytics and Modeling,Conceptual Frameworks for Spatial Analysis & Modeling,Neighborhoods,"Explain the three typical neighborhood definitions in the context of computational geometry, administration and planning, and urban geography."
Analytics and Modeling,Conceptual Frameworks for Spatial Analysis & Modeling,Neighborhoods,"Within the context of computational geometry, provide key neighborhood concepts for vector (point and polygon) and raster data using the most commonly used methods such as Rook Neighbors, Queen Neighbors, Thiessen polygons, Delaunay triangulations, and local, focal, zonal and global functions."
Analytics and Modeling,Conceptual Frameworks for Spatial Analysis & Modeling,Neighborhoods,"Within the context of health research, explain the needs, considerations, and use of neighborhoods to characterize social and environmental determinants of health."
Analytics and Modeling,Conceptual Frameworks for Spatial Analysis & Modeling,Neighborhoods,"Within the context of urban geography, explain neighborhood and community as social clusters."
Analytics and Modeling,Conceptual Frameworks for Spatial Analysis & Modeling,Spatial Relationships,
Analytics and Modeling,Conceptual Frameworks for Spatial Analysis & Modeling,Spatial Statistics,
Analytics and Modeling,Data Exploration & Spatial Statistics,Cartographic Modeling,Describe the difference between prescriptive and descriptive cartographic models
Analytics and Modeling,Data Exploration & Spatial Statistics,Cartographic Modeling,Develop a flowchart of a cartographic model for a site suitability problem
Analytics and Modeling,Data Exploration & Spatial Statistics,Cartographic Modeling,Discuss the origins of cartographic modeling with reference to the work of Ian McHarg
Analytics and Modeling,Data Exploration & Spatial Statistics,Classification & Clustering,Apply classification methods in the univariate case.
Analytics and Modeling,Data Exploration & Spatial Statistics,Classification & Clustering,Categorize classification and clustering methods used in different areas of GIS&T.
Analytics and Modeling,Data Exploration & Spatial Statistics,Classification & Clustering,Compare methods used in cartographic classification.
Analytics and Modeling,Data Exploration & Spatial Statistics,Classification & Clustering,Contrast the results of cartographic classifications.
Analytics and Modeling,Data Exploration & Spatial Statistics,Classification & Clustering,Describe the difference between classification and clustering.
Analytics and Modeling,Data Exploration & Spatial Statistics,Classification & Clustering,Explain the use of distance in classification and clustering.
Analytics and Modeling,Data Exploration & Spatial Statistics,DEM and Terrain Metrics,
Analytics and Modeling,Data Exploration & Spatial Statistics,Exploratory Spatial Data Analysis (ESDA),"Describe the statistical characteristics of a set of spatial data using a variety of graphs and plots (including scatterplots, histograms, boxplots, q–q plots)"
Analytics and Modeling,Data Exploration & Spatial Statistics,Exploratory Spatial Data Analysis (ESDA),Select the appropriate statistical methods for the analysis of given spatial datasets by first exploring them using graphic methods
Analytics and Modeling,Data Exploration & Spatial Statistics,Geographically Weighted Regression,Analyze the number of degrees of freedom in GWR analyses and discuss any possible difficulties with the method based on your results
Analytics and Modeling,Data Exploration & Spatial Statistics,Geographically Weighted Regression,Compare and contrast GWR with universal kriging using moving neighborhoods
Analytics and Modeling,Data Exploration & Spatial Statistics,Geographically Weighted Regression,Describe the characteristics of the spatial expansion method
Analytics and Modeling,Data Exploration & Spatial Statistics,Geographically Weighted Regression,Discuss the appropriateness of GWR under various conditions
Analytics and Modeling,Data Exploration & Spatial Statistics,Geographically Weighted Regression,Explain how allowing the parameters of the model to vary with the spatial location of the sample data can be used to accommodate spatial heterogeneity
Analytics and Modeling,Data Exploration & Spatial Statistics,Geographically Weighted Regression,Explain the principles of geographically weighted regression
Analytics and Modeling,Data Exploration & Spatial Statistics,Geographically Weighted Regression,Perform an analysis using the geographically weighted regression technique
Analytics and Modeling,Data Exploration & Spatial Statistics,Global Measures of Spatial Association,Compute and interpret a Moran scatterplot.
Analytics and Modeling,Data Exploration & Spatial Statistics,Global Measures of Spatial Association,Define spatial autocorrelation.
Analytics and Modeling,Data Exploration & Spatial Statistics,Global Measures of Spatial Association,Describe how spatial weights are used to calculate measures of spatial autocorrelation.
Analytics and Modeling,Data Exploration & Spatial Statistics,Global Measures of Spatial Association,Discuss how Moran’s I and Geary’s C are used to measure spatial patterns.
Analytics and Modeling,Data Exploration & Spatial Statistics,Global Measures of Spatial Association,Explain how a variogram depicts a global assessment of spatial association.
Analytics and Modeling,Data Exploration & Spatial Statistics,Global Measures of Spatial Association,Identify the proper data type for join count statistics and compute the statistic.
Analytics and Modeling,Data Exploration & Spatial Statistics,Grid-based Statistics and Metrics,
Analytics and Modeling,Data Exploration & Spatial Statistics,Kernels & Density Estimation,Create density maps from point datasets using kernels and density estimation techniques using standard software
Analytics and Modeling,Data Exploration & Spatial Statistics,Kernels & Density Estimation,Describe the limitations of planar kernel density estimation methods for network point data
Analytics and Modeling,Data Exploration & Spatial Statistics,Kernels & Density Estimation,Explain how density estimation transforms point data or line data into a field representation
Analytics and Modeling,Data Exploration & Spatial Statistics,Kernels & Density Estimation,Explain why kernel density is needed
Analytics and Modeling,Data Exploration & Spatial Statistics,Kernels & Density Estimation,"Explain why, in some cases, an adaptive kernel might be employed"
Analytics and Modeling,Data Exploration & Spatial Statistics,Kernels & Density Estimation,Outline the likely effects on analysis results of variations in the kernel function used and the bandwidth adopted
Analytics and Modeling,Data Exploration & Spatial Statistics,Landscape Metrics,Distinguish between patch-mosaic models and gradient surface models of landscapes
Analytics and Modeling,Data Exploration & Spatial Statistics,Landscape Metrics,Evaluate the appropriateness of different metrics for analysis goals and data models
Analytics and Modeling,Data Exploration & Spatial Statistics,Landscape Metrics,Explain the levels of analysis at which landscape metrics are computed
Analytics and Modeling,Data Exploration & Spatial Statistics,Landscape Metrics,"Recognize the differences between traditional landscape metrics, graph-based metrics, and surface metrics"
Analytics and Modeling,Data Exploration & Spatial Statistics,Local Measures of Spatial Association,Compare and contrast global and local statistics and their uses
Analytics and Modeling,Data Exploration & Spatial Statistics,Local Measures of Spatial Association,Compute the Gi and Gi* statistics
Analytics and Modeling,Data Exploration & Spatial Statistics,Local Measures of Spatial Association,Decompose Moran’s I and Geary’s c into local measures of spatial association
Analytics and Modeling,Data Exploration & Spatial Statistics,Local Measures of Spatial Association,Describe the effect of non-stationarity on local indices of spatial association
Analytics and Modeling,Data Exploration & Spatial Statistics,Local Measures of Spatial Association,Explain how a weights matrix can be used to convert any classical statistic into a local measure of spatial association
Analytics and Modeling,Data Exploration & Spatial Statistics,Local Measures of Spatial Association,Explain how geographically weighted regression provides a local measure of spatial association
Analytics and Modeling,Data Exploration & Spatial Statistics,Multi-criteria Evaluation,Calibrate a linear combination model by adjusting weights using a test data set
Analytics and Modeling,Data Exploration & Spatial Statistics,Multi-criteria Evaluation,"Compare and contrast the terms multi-criteria evaluation, weighted linear combination, and site suitability analysis"
Analytics and Modeling,Data Exploration & Spatial Statistics,Multi-criteria Evaluation,Create initial weights using the analytical hierarchy process (AHP)
Analytics and Modeling,Data Exploration & Spatial Statistics,Multi-criteria Evaluation,Describe the implementation of an ordered weighting scheme in a multiple-criteria aggregation
Analytics and Modeling,Data Exploration & Spatial Statistics,Multi-criteria Evaluation,"Determine which method to use to combine criteria (e.g., linear, multiplication)"
Analytics and Modeling,Data Exploration & Spatial Statistics,Multi-criteria Evaluation,Differentiate between contributing factors and constraints in a multi-criteria application
Analytics and Modeling,Data Exploration & Spatial Statistics,Multi-criteria Evaluation,Explain the legacy of multi-criteria evaluation in relation to cartographic modeling
Analytics and Modeling,Data Exploration & Spatial Statistics,Point Pattern Analysis,Conduct point pattern analysis (PPA) on a sample point dataset.
Analytics and Modeling,Data Exploration & Spatial Statistics,Point Pattern Analysis,Describe commonly used point pattern analysis (PPA) methods.
Analytics and Modeling,Data Exploration & Spatial Statistics,Point Pattern Analysis,Interpret the results of point pattern analysis (PPA) methods.
Analytics and Modeling,Data Exploration & Spatial Statistics,Point Pattern Analysis,Summarize the role of point pattern analysis (PPA) in conducting exploratory analysis on point data.
Analytics and Modeling,Data Exploration & Spatial Statistics,Simple Regression & Trend Surface Analysis,
Analytics and Modeling,Data Exploration & Spatial Statistics,Spatial Autoregressive & Bayesian Methods,Compare and contrast Bayesian methods and classical “frequentist” statistical methods
Analytics and Modeling,Data Exploration & Spatial Statistics,Spatial Autoregressive & Bayesian Methods,Define “prior and posterior distributions” and “Markov-Chain Monte Carlo”
Analytics and Modeling,Data Exploration & Spatial Statistics,Spatial Autoregressive & Bayesian Methods,Explain how the Bayesian perspective is a unified framework from which to view uncertainty
Analytics and Modeling,Data Exploration & Spatial Statistics,Spatial Filtering Models,Demonstrate how spatial autocorrelation can be “removed” by resampling
Analytics and Modeling,Data Exploration & Spatial Statistics,Spatial Filtering Models,Describe the relationship between factorial kriging and spatial filtering
Analytics and Modeling,Data Exploration & Spatial Statistics,Spatial Filtering Models,Explain how dissolving clusters of blocks with similar values may resolve the spatial correlation problem
Analytics and Modeling,Data Exploration & Spatial Statistics,Spatial Filtering Models,Explain how spatial correlation can result as a side effect of the spatial aggregation in a given dataset
Analytics and Modeling,Data Exploration & Spatial Statistics,Spatial Filtering Models,Explain how the Getis and Tiefelsdorf-Griffith spatial filtering techniques incorporate spatial component variables into OLS regression analysis in order to remedy misspecification and the problem of spatially auto-correlated residuals
Analytics and Modeling,Data Exploration & Spatial Statistics,Spatial Filtering Models,Identify modeling situations where spatial filtering might not be appropriate
Analytics and Modeling,Data Exploration & Spatial Statistics,Spatial Interaction,Define NP-hard.
Analytics and Modeling,Data Exploration & Spatial Statistics,Spatial Interaction,Describe the difference between a location-allocation and a pure location problem.
Analytics and Modeling,Data Exploration & Spatial Statistics,Spatial Interaction,Describe the two basic approaches used to solve location-allocation models.
Analytics and Modeling,Data Exploration & Spatial Statistics,Spatial Interaction,Describe why “distance editing” can be used to solve location problems related to the p-median problem.
Analytics and Modeling,Data Exploration & Spatial Statistics,Spatial Interaction,Describe why the following condition will hold when solving the WLP:
Analytics and Modeling,Data Exploration & Spatial Statistics,Spatial Process Models,Describe a simple process model that would generate a given set of spatial patterns
Analytics and Modeling,Data Exploration & Spatial Statistics,Spatial Process Models,Differentiate between deterministic and stochastic spatial process models
Analytics and Modeling,Data Exploration & Spatial Statistics,Spatial Process Models,Discuss the relationship between spatial processes and spatial patterns
Analytics and Modeling,Data Exploration & Spatial Statistics,Spatial Sampling for Spatial Analysis,
Analytics and Modeling,Data Manipulation,Coordinate transformations,"Cite appropriate applications of several coordinate transformation techniques (e.g., affine, similarity, Molodenski, Helmert)"
Analytics and Modeling,Data Manipulation,Coordinate transformations,Describe the impact of map projection transformation on raster and vector data
Analytics and Modeling,Data Manipulation,Coordinate transformations,Differentiate between polynomial coordinate transformations (including linear) and rubbersheeting
Analytics and Modeling,Data Manipulation,Data conversion,Convert a data set from the native format of one GIS product to another
Analytics and Modeling,Data Manipulation,Data conversion,Describe a workflow for converting and implementing a data model in a GIS involving an Entity-Relationship (E-R) diagram and the Universal Modeling Language (UML)
Analytics and Modeling,Data Manipulation,Data conversion,Discuss the role of metadata in facilitating conversation of data models and data structures between systems
Analytics and Modeling,Data Manipulation,Data conversion,Identify the conceptual and practical difficulties associated with data model and format conversion
Analytics and Modeling,Data Manipulation,Generalization & Aggregation,
Analytics and Modeling,Data Manipulation,Impacts of transformations,"Compare and contrast the impacts of different conversion approaches, including the effect on spatial components"
Analytics and Modeling,Data Manipulation,Impacts of transformations,"Create a flowchart showing the sequence of transformations on a data set (e.g., geometric and radiometric correction and mosaicking of remotely sensed data)"
Analytics and Modeling,Data Manipulation,Impacts of transformations,"Prioritize a set of algorithms designed to perform transformations based on the need to maintain data integrity (e.g., converting a digital elevation model into a TIN)"
Analytics and Modeling,Data Manipulation,"Point, Line, and Area Generalization","Describe the basic forms of generalization used in applications in addition to cartography (e.g., selection, simplification)"
Analytics and Modeling,Data Manipulation,"Point, Line, and Area Generalization",Design an experiment that allows one to evaluate the effect of traditional approaches of cartographic generalization on the quality of digital data sets created from analog originals
Analytics and Modeling,Data Manipulation,"Point, Line, and Area Generalization",Discuss the possible effects on topological integrity of generalizing data sets
Analytics and Modeling,Data Manipulation,"Point, Line, and Area Generalization",Evaluate various line simplification algorithms by their usefulness in different applications
Analytics and Modeling,Data Manipulation,"Point, Line, and Area Generalization",Explain the logic of the Douglas-Poiker line simplification algorithm
Analytics and Modeling,Data Manipulation,"Point, Line, and Area Generalization",Explain the pitfalls of using data generalized for small scale display in a large scale application
Analytics and Modeling,Data Manipulation,"Point, Line, and Area Generalization",Explain why areal generalization is more difficult than line simplification
Analytics and Modeling,Data Manipulation,Raster resampling,Discuss the consequences of increasing and decreasing resolution
Analytics and Modeling,Data Manipulation,Raster resampling,Evaluate methods used by contemporary GIS software to resample raster data on-the-fly during display
Analytics and Modeling,Data Manipulation,Raster resampling,Resample multiple raster data sets to a single resolution to enable overlay
Analytics and Modeling,Data Manipulation,Raster resampling,"Resample raster data sets (e.g., terrain, satellite imagery) to a resolution appropriate for a map of a particular scale"
Analytics and Modeling,Data Manipulation,Raster resampling,"Select appropriate interpolation techniques to resample particular types of values in raster data (e.g., nominal using nearest neighbor)"
Analytics and Modeling,Data Manipulation,Transaction Management,
Analytics and Modeling,Data Manipulation,Vector-to-raster and raster-to-vector conversions,Convert vector data to raster format and back using GIS software
Analytics and Modeling,Data Manipulation,Vector-to-raster and raster-to-vector conversions,Create estimated tessellated data sets from point samples or isolines using interpolation operations that are appropriate to the specific situation
Analytics and Modeling,Data Manipulation,Vector-to-raster and raster-to-vector conversions,Explain how the vector/raster/vector conversion process of graphic images and algorithms takes place and how the results are achieved
Analytics and Modeling,Data Manipulation,Vector-to-raster and raster-to-vector conversions,Illustrate the impact of vector/raster/vector conversions on the quality of a dataset
Analytics and Modeling,Geocomputational Methods & Models,Agent-based Modeling,"Create a drawing of a system of interest. Sketch out the agents belonging to this system, the nature in which these agents interact with each other, and how these agents interact with their surrounding landscape."
Analytics and Modeling,Geocomputational Methods & Models,Agent-based Modeling,Describe how local interactions amongst individual agents can lead to emergent spatial patterns.
Analytics and Modeling,Geocomputational Methods & Models,Agent-based Modeling,Explain the difference between top-down and bottom-up modeling approaches.
Analytics and Modeling,Geocomputational Methods & Models,Agent-based Modeling,Explore a real agent-based model and define the main modeling components.
Analytics and Modeling,Geocomputational Methods & Models,Artificial Neural Networks,
Analytics and Modeling,Geocomputational Methods & Models,Cellular Automata,Critique CA for modeling geographical systems.
Analytics and Modeling,Geocomputational Methods & Models,Cellular Automata,Demonstrate how to examine the CA research literature.
Analytics and Modeling,Geocomputational Methods & Models,Cellular Automata,Describe what a cellular automaton is and what its key components are.
Analytics and Modeling,Geocomputational Methods & Models,Cellular Automata,"Discuss how CA evolved through its development in mathematics, computer science, and geography."
Analytics and Modeling,Geocomputational Methods & Models,Cellular Automata,Identify CA principles and patterns using the game of Life and simple software.
Analytics and Modeling,Geocomputational Methods & Models,Cellular Automata,Summarize how CA has been adapted for modeling in geography using GIS.
Analytics and Modeling,Geocomputational Methods & Models,Genetic Algorithms & Evolutionary Computing,Analyze the impact of parameters on the performance of a genetic algorithm.
Analytics and Modeling,Geocomputational Methods & Models,Genetic Algorithms & Evolutionary Computing,Describe simple encoding strategies for genetic algorithms.
Analytics and Modeling,Geocomputational Methods & Models,Genetic Algorithms & Evolutionary Computing,Describe the general procedure of a genetic algorithm.
Analytics and Modeling,Geocomputational Methods & Models,Genetic Algorithms & Evolutionary Computing,Discuss the application of genetic algorithms in solving spatial problems.
Analytics and Modeling,Geocomputational Methods & Models,Simulation & Modeling Systems for Agent-based Modeling,
Analytics and Modeling,Geocomputational Methods & Models,Simulation Modeling,Compare and contrast different design choices in developing simulation models
Analytics and Modeling,Geocomputational Methods & Models,Simulation Modeling,Conduct a simulation experiment using available simulation software
Analytics and Modeling,Geocomputational Methods & Models,Simulation Modeling,Describe how optimization methods involving Monte Carlo sampling of parameter space can be used to identify leverage points for policy intervention
Analytics and Modeling,Geocomputational Methods & Models,Simulation Modeling,Discuss different ways of simulating space and visualizing model behavior
Analytics and Modeling,Geocomputational Methods & Models,Simulation Modeling,Discuss the implications of stochastic model assumptions for the design of simulation experiments
Analytics and Modeling,Geocomputational Methods & Models,Simulation Modeling,Discuss the utility of generating synthetic datasets from simulation experiments to make inferences about system behavior
