Competency,Topic,Sub-topic,Level,learning_objective
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Reporting,null,Application (A),"Present ideas, information, and facts clearly and appropriately "
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Reporting,null,Application (A),"Provide tailored verbal, written, and other forms of communication to intended purpose and audience "
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Reporting,null,Application (A),"Use language conventions of spelling, punctuation, and grammar"
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Reporting,null,Application (A),Use organizational style guides and protocols
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Reporting,null,Application (A),Present all appropriate sources of information
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Reporting,null,Application (A),Provide all assumptions made when generating reports
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Reporting,null,Application (A),"Produce products according to the organization, industry, and/or professional standards"
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Reporting,null,Application (A),Produce products without bias and misinformation
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Reporting,null,Application (A),Choose to solicit constructive feedback from peers in an iterative manner
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Reporting,null,Application (A),"Provide synthesized recommendations to produce improved products, services, and processes"
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Reporting,null,Application (A),Clearly articulates existing model assumptions.
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Reporting,null,Application (A),Provides probabilities for competing/alternative scenarios.
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Reporting,null,Application (A),"Accounts for potential negative consequences associated with a geographic setting and the cultural, historical, political, and economic factors (i.e., the potential for bad assumption is explained)."
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Reporting,null,Mastery/UGP (M/U),Verify quality control checks
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Reporting,null,Mastery/UGP (M/U),Develop and plan courses of action if appropriate
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Reporting,null,Mastery/UGP (M/U),Strategize organizational implications (or “so what”)
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Synthesis,null,Foundational (F),"Compile (identifies, locates, and obtains) essential information efficiently and effectively"
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Synthesis,null,Foundational (F),"Condense (identifies, defines, and decomposes) problems into parts to facilitate a search for a solution"
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Synthesis,null,Foundational (F),Recap by synthesizing and integrating information into meaningful concepts and ideas
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Synthesis,null,Foundational (F),"Summarize a set of facts, recognizes patterns or trends, and determines the consequences of action relevant to the user"
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Synthesis,null,Application (A),"The competency of amalgamation includes the following tasks: select (identifies, locates, and obtains) essential information, separate (identifies, defines, and decomposes) problems into parts to facilitate a search for a solution, use statistical methods to differentiate between correlation and causation, produce ideas about a given topic and apply old ideas to new situations or in new combinations, produce ideas about a given topic and apply old ideas to new situations or in new combinations, interpret and apply (synthesize and integrate) information into meaningful concepts and ideas, produce automated, repeatable workflows and modeling, interpret a set of facts, discern patterns or trends, and differentiate the consequences of action relevant to the user."
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Synthesis,null,Application (A),"Identify appropriate resources for assessing the influence of geographic setting and the cultural, historical, political, and economic factors associated with the study/subject."
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Synthesis,null,Application (A),Integrate Subject Matter Expert (SME) opinions and evaluations into the synthesis process.
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Synthesis,null,Application (A),"Offer alternative scenarios which account for the influence of geographic setting and the cultural, historical, political, and economic factors associated with the study/subject, and provide a probability of likelihood for each offer (i.e., forecast)."
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Synthesis,null,Mastery/UGP (M/U),"At the mastery level, demonstrate synthesis by the following: use statistical methods to differentiate between correlation and causation, develop ideas about a given topic by assembling and constructing new situations in new combinations from old ideas, design and plan automated, repeatable workflows and modeling"
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Collaboration,null,Foundational (F),"Recognize importance of interacting with others in a friendly, courteous, and tactful manner that demonstrates respect for individual and cultural differences and the attitudes and feelings of others"
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Collaboration,null,Foundational (F),Accurately recall professional geospatial lexicon
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Collaboration,null,Foundational (F),"Recognize importance of working cooperatively and collaboratively with others to achieve goals through sharing or integrating ideas, knowledge, skills, information, support, resources, responsibility, and recognition"
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Collaboration,null,Application (A),"Choose to respond by interacting with others in a friendly, courteous, and tactful manner that demonstrates respect for individual and cultural differences and the attitudes and feelings of others"
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Collaboration,null,Application (A),"Accurately use professional geospatial lexicon,"
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Collaboration,null,Application (A),"Select and apply correct use of terms for management of geospatial production, e.g., AGILE, waterfall, etc."
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Collaboration,null,Application (A),"Carry out work cooperatively and collaboratively with others to achieve goals through sharing or integrating ideas, knowledge, skills, information, support, resources, responsibility, and recognition"
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Collaboration,null,Application (A),Choose to facilitate agreements that involve sharing or exchanging resources across industry or security domains to promote mutual goals and interest
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Collaboration,null,Application (A),Respond by persuading others to change their points of view or behavior without losing support (or accepting the opposing views of others)
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Collaboration,null,Application (A),Apply conflict resolution to disagreements
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Collaboration,null,Application (A),Use professional networks to carry out cooperative partnerships that help attain goals
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Collaboration,null,Mastery/UGP (M/U),"Arrange to establish mentor-protégé relationships, as appropriate"
DATA VISUALIZATION (DV),"T1. Scale (e.g., precision or accuracy of measure)",Units of measure,Prerequisites (P),Demonstrate basic understanding of units of measure
DATA VISUALIZATION (DV),"T1. Scale (e.g., precision or accuracy of measure)",Relationship between Precision/accuracy and data quantity,Prerequisites (P),Define precision and accuracy.
DATA VISUALIZATION (DV),"T1. Scale (e.g., precision or accuracy of measure)",Relationship between Precision/accuracy and data quantity,Prerequisites (P),Distinguish the difference between precision and accuracy and how each impact data quantity.
DATA VISUALIZATION (DV),"T1. Scale (e.g., precision or accuracy of measure)",Relationship between scale and product sizing,Foundational (F),Summarize the relationship between scale and the size of a visualization product.
DATA VISUALIZATION (DV),"T1. Scale (e.g., precision or accuracy of measure)",Absolute vs. relative,Foundational (F),Define absolute scale and relative scale.
DATA VISUALIZATION (DV),"T1. Scale (e.g., precision or accuracy of measure)",Foundational (F),Foundational (F),Categorize when it is more appropriate to use an absolute scale versus a relative scale.
DATA VISUALIZATION (DV),"T1. Scale (e.g., precision or accuracy of measure)","Relationship between uncertainty, precision, accuracy, and scale",Foundational (F),"Summarize the similarities and differences between the concepts of uncertainty, precision, accuracy and scale."
DATA VISUALIZATION (DV),"T1. Scale (e.g., precision or accuracy of measure)",Implementation of scale as a paradigm,Foundational (F),Summarize why scale is important to map measurement.
DATA VISUALIZATION (DV),"T1. Scale (e.g., precision or accuracy of measure)",Implementation of scale for cartographic product,Foundational (F),Outline the when each type of scale is used on a map.
DATA VISUALIZATION (DV),"T1. Scale (e.g., precision or accuracy of measure)",Differences with how scale is communicated and depicted on a map,Foundational (F),Outline the differences between how scale is communicated and how it depicted on a map.
DATA VISUALIZATION (DV),"T1. Scale (e.g., precision or accuracy of measure)",Basic Cartography,Foundational (F),List the elements and principles of basic cartography.
DATA VISUALIZATION (DV),"T1. Scale (e.g., precision or accuracy of measure)",Basic Cartography,Foundational (F),Summarize how the elements and principles of cartography interact with each other.
DATA VISUALIZATION (DV),"T1. Scale (e.g., precision or accuracy of measure)",Methods of depicting and implementing,Application (A),Differentiate methods of depicting and implementing scale as a visualization concept.
DATA VISUALIZATION (DV),"T1. Scale (e.g., precision or accuracy of measure)",Implications of depicting and implementing data visualization,Application (A),Discern implications of depicting and implementing data visualization.
DATA VISUALIZATION (DV),"T1. Scale (e.g., precision or accuracy of measure)",Domain-specific application for a given problem,Application (A),Present domain-specific application of scale for a given problem.
DATA VISUALIZATION (DV),"T1. Scale (e.g., precision or accuracy of measure)",Generalization,Application (A),Summarize the relationship between generalization and scale.
DATA VISUALIZATION (DV),"T1. Scale (e.g., precision or accuracy of measure)",Generalization,Application (A),Summarize how generalization is used for small scales versus large scales.
DATA VISUALIZATION (DV),"T1. Scale (e.g., precision or accuracy of measure)",New representations and approaches for applying scale to data structures and cartographic products,MASTERY/UGP (M/U),Design new representations and approaches for applying scale to data structures and cartographic products.
DATA VISUALIZATION (DV),"T1. Scale (e.g., precision or accuracy of measure)",New representations and approaches for applying scale to domain-specific applications,MASTERY/UGP (M/U),"Design new representations and approaches for applying scale to domain-specific applications (e.g., dynamic scales)."
DATA VISUALIZATION (DV),"T1. Scale (e.g., precision or accuracy of measure)",How to explain the differences in use of relative and absolute scale,MASTERY/UGP (M/U),Define the differences between how relative and absolute scales are talked about and used on maps.
DATA VISUALIZATION (DV),"T1. Scale (e.g., precision or accuracy of measure)",Ability to create multiple visualizations and interpret them,MASTERY/UGP (M/U),Construct multiple visualizations of a map so that it may be tailored to fit the needs of several different products. 
DATA VISUALIZATION (DV),T2. Color,Color Wheel/Color Theory,Prerequisites (P),Explain color wheel/color theory fundamentals.
DATA VISUALIZATION (DV),T2. Color,Complementing colors,Prerequisites (P),Distinguish between complementary and contrasting colors.
DATA VISUALIZATION (DV),T2. Color,Contrasting colors,Prerequisites (P),
DATA VISUALIZATION (DV),T2. Color,Print color models,Foundational (F),"Summarize the following color models: RGB, HSV, CMYK, BW"
DATA VISUALIZATION (DV),T2. Color,Print color models,Foundational (F),Outline common feature colors.
DATA VISUALIZATION (DV),T2. Color,"Water is blue, Land is brown/green, Etc.",Foundational (F),"List terrain color features (e.g., water is blue, land is brown/green, etc.)."
DATA VISUALIZATION (DV),T2. Color,Color Scale/Ramps,Foundational (F),Summarize color scales and color ramps.
DATA VISUALIZATION (DV),T2. Color,"Color Themes for human event types like Conflict, Damaged infrastructure, ",Foundational (F),"Summarize color themes for human induced phenomena (e.g., conflict, damaged infrastructure, etc.)."
DATA VISUALIZATION (DV),T2. Color,Advanced forms imagery coloring,Application (A),Differentiate advanced forms of imagery color display concepts for single-band and multi-band imagery.
DATA VISUALIZATION (DV),T2. Color,Panchromatic,Application (A),
DATA VISUALIZATION (DV),T2. Color,Near Infrared,Application (A),
DATA VISUALIZATION (DV),T2. Color,Comprehensive knowledge of graphic design and hierarchy of information,MASTERY/UGP (M/U),Establish comprehensive knowledge of graphic design and hierarchy of information with use of color.
DATA VISUALIZATION (DV),T2. Color,Knowledge of how color as a graphic design element can be used to make an eye-catching product,MASTERY/UGP (M/U),Evaluate knowledge of how color as a graphic design element can be used to create products that are easily understood.
DATA VISUALIZATION (DV),"T3. Textual Elements (e.g., fonts)",Font Families,Prerequisites (P),"Demonstrate basic literacy of textual elements to include Font Families, Serif vs. Sans-Serif, Bold/Underline/Italics and Font size."
DATA VISUALIZATION (DV),"T3. Textual Elements (e.g., fonts)",Lettering conventioins,Foundational (F),"List common map lettering conventions (e.g., country names in all caps)."
DATA VISUALIZATION (DV),"T3. Textual Elements (e.g., fonts)",Keeping titles short and concise,Foundational (F),"List effective title features and principles (e.g., keeping titles short and concise)."
DATA VISUALIZATION (DV),"T3. Textual Elements (e.g., fonts)","Appropriate feature labeling (colors, sizes, fonts, etc.)",Foundational (F),"Summarize appropriate feature labeling approaches (e.g., colors, sizes, fonts, etc.)."
DATA VISUALIZATION (DV),"T3. Textual Elements (e.g., fonts)","Distribution and placement of labels, contextual information, etc.",Application (A),"Select proper distribution and placement of labels, contextual information, etc."
DATA VISUALIZATION (DV),"T3. Textual Elements (e.g., fonts)",Abbreviations ,Application (A),Interpret domain-specific abbreviations (or jargon).
DATA VISUALIZATION (DV),"T3. Textual Elements (e.g., fonts)","When to display text interactively (For interactive maps; scale dependent text, not displaying labels for layers that are currently out of scale)",Application (A),"Discern when to display text interactively (for interactive maps; scale dependent text, not displaying labels for layers that are currently out of scale)."
DATA VISUALIZATION (DV),"T3. Textual Elements (e.g., fonts)",Mastery of Fonts,MASTERY/UGP (M/U),"Implement appropriate use of fonts and typographical emphases (e.g., bold, underline, italicize) when using text on a map."
DATA VISUALIZATION (DV),"T3. Textual Elements (e.g., fonts)",Complete understanding of textual options within maps and how they convey information to the end user,MASTERY/UGP (M/U),Integrate various textual options within maps to appropriately convey information to the end user.
DATA VISUALIZATION (DV),T4. Contrast,Ability to differentiate between visual media,Prerequisites (P),Differentiate between different visual media types including static products and interactive products.
DATA VISUALIZATION (DV),T4. Contrast,Concept that objects can stand out from others,Prerequisites (P),Explain concept that objects can stand out from others.
DATA VISUALIZATION (DV),T4. Contrast,Recognition that some things are more eye-catching than others,Prerequisites (P),Distinguish the visual impact between objects and features.
DATA VISUALIZATION (DV),T4. Contrast,Complementary colors,Foundational (F),"List effective variations in visual contrast (such as complementary colors, brightness, saturation, transparency, size and position)."
DATA VISUALIZATION (DV),T4. Contrast,Drop Shadow,Application (A),Present proper contrast features (such as drop shadow and blending of colors and features).
DATA VISUALIZATION (DV),T4. Contrast,Gradients vs. Discrete colors,Application (A),Distinguish between gradients and discrete colors.
DATA VISUALIZATION (DV),T4. Contrast,Blending of colors and features,Application (A),
DATA VISUALIZATION (DV),T4. Contrast,Ability to take several overlapping features on a single map and differentiate them from one another without compromising information,MASTERY/UGP (M/U),Construct a single map with several overlapping features and differentiate them from one another without compromising information.
DATA VISUALIZATION (DV),T5. Hierarchy,The concept that some things are more important than others,Prerequisites (P),"Explain concept that the presentation of features on a map implies relative importance which is achieved with visual contrast (e.g., size, color, brightness, etc.)."
DATA VISUALIZATION (DV),T5. Hierarchy,"Conveying importance through size, color, brightness, etc.…",Prerequisites (P),
DATA VISUALIZATION (DV),T5. Hierarchy,Relevance,Prerequisites (P),
DATA VISUALIZATION (DV),T5. Hierarchy,Positioning/placement,Foundational (F),"Outline effective visual hierarchy features (such as positioning/placement, how to label, justification and relationship between features)."
DATA VISUALIZATION (DV),T5. Hierarchy,How to label,Foundational (F),
DATA VISUALIZATION (DV),T5. Hierarchy,"Justification (center, left, right, etc.…)",Foundational (F),
DATA VISUALIZATION (DV),T5. Hierarchy,Relationship between features,Foundational (F),
DATA VISUALIZATION (DV),T5. Hierarchy,Objective of the map,Application (A),Provide objective of the map.
DATA VISUALIZATION (DV),T5. Hierarchy,Objective of the map,Application (A),"Interpret the end user’s objective for using a map (e.g., reference tool, information gathering tool, analytical tool) to determine the best way for the information to be depicted."
DATA VISUALIZATION (DV),T5. Hierarchy,Proper Naming conventions,Application (A),Select proper naming conventions.
DATA VISUALIZATION (DV),T5. Hierarchy,Industry language,Application (A),Choose proper industry language.
DATA VISUALIZATION (DV),T5. Hierarchy,Industry language,Application (A),"Determine when it appropriate to use proper industry language (e.g., initialisms, acronyms) based on the end user population."
DATA VISUALIZATION (DV),T5. Hierarchy,Ability to draw the attention of the viewer to features/information in the order that is relevant to communicating the purpose of the map,MASTERY/UGP (M/U),Establish methods of sizing features/information and positioning features/information in an order that will effectively communicate a map’s purpose. 
DATA VISUALIZATION (DV),"T6. Conceptualizing a Layout (e.g., white space)",Balance,Prerequisites (P),"Demonstrate basic understanding of layout conceptualization to include balance, positioning and featuring spatial relationships."
DATA VISUALIZATION (DV),"T6. Conceptualizing a Layout (e.g., white space)",Positioning,Prerequisites (P),
DATA VISUALIZATION (DV),"T6. Conceptualizing a Layout (e.g., white space)",Feature relationships,Prerequisites (P),
DATA VISUALIZATION (DV),"T6. Conceptualizing a Layout (e.g., white space)",Ability to use proximity of empty space on a map in tandem with features on a map,Foundational (F),Outline proper use of empty space and features on a map.
DATA VISUALIZATION (DV),"T6. Conceptualizing a Layout (e.g., white space)",Placing Labels and Text appropriately,Foundational (F),"List effective map annotation (e.g., placing labels and text appropriately)."
DATA VISUALIZATION (DV),"T6. Conceptualizing a Layout (e.g., white space)",Legend and graphic placement,Foundational (F),Summarize effective legend and graphic placement.
DATA VISUALIZATION (DV),"T6. Conceptualizing a Layout (e.g., white space)",Distinguish plain white space from less significant mapped areas,Application (A),Differentiate plain white space from less significant mapped areas.
DATA VISUALIZATION (DV),"T6. Conceptualizing a Layout (e.g., white space)","Ability to fit multiple and sometimes complex graphics, labels, supporting text, legends, and other features to support the mapped area without compromising content",Application (A),"Integrate multiple and sometimes complex graphics, labels, supporting text, legends, and other features to support the mapped area without compromising content."
DATA VISUALIZATION (DV),"T6. Conceptualizing a Layout (e.g., white space)",Advanced understanding of hierarchy of information and ability to create flow that draws the attention of the viewer,MASTERY/UGP (M/U),Establish techniques for utilizing white space and isolating elements to design a layout that will draw the attention of the viewer and establish a hierarchy of information.
DATA VISUALIZATION (DV),"T7. Psychology of Representation (e.g., Gestalt Principles)","Knowledge of basic map elements and features like mapped area, legends, titles, scale bar etc.",Prerequisites (P),"Explain basic map elements and features to include mapped area, legends, titles and scale bar."
DATA VISUALIZATION (DV),"T7. Psychology of Representation (e.g., Gestalt Principles)",Entry level of understanding of symbology and common map representations,Prerequisites (P),List basic symbology and common map representations.
DATA VISUALIZATION (DV),"T7. Psychology of Representation (e.g., Gestalt Principles)",Ability to distinguish between the main and secondary features/objectives,Foundational (F),"Summarize how imagery elements (e.g., color, vibrancy, size, transparency) are used to differentiate main and secondary features/objectives."
DATA VISUALIZATION (DV),"T7. Psychology of Representation (e.g., Gestalt Principles)",Gestault Principles,Foundational (F),"Summarize Gestalt principles of design (e.g., proximity, similarity, continuity, closure and figure/ground)."
DATA VISUALIZATION (DV),"T7. Psychology of Representation (e.g., Gestalt Principles)","Comprehensive understanding of legibility, Figure-ground, Hierarchy, and Balance",Application (A),"Differentiate between various representation features (e.g., legibility, figure-ground, hierarchy, and balance)."
DATA VISUALIZATION (DV),"T7. Psychology of Representation (e.g., Gestalt Principles)",Ability to incorporate many features at varying pronounced levels in tandem with each other,MASTERY/UGP (M/U),Evaluate current methods of incorporating numerous features of varying pronounced levels on a map and construct new techniques to mitigate against user error.
DATA VISUALIZATION (DV),"T8. Maps (e.g., reference vs. thematic)",Map Types,Prerequisites (P),"Distinguish between different map types (such as, thematic, reference, topographic, flow, choropleth, cartograms, and image maps)."
DATA VISUALIZATION (DV),"T8. Maps (e.g., reference vs. thematic)",Understanding of which types of maps are used in the Geospatial Intelligence (GEOINT) community,Foundational (F),List the different types of maps used in the Geospatial Intelligence (GEOINT) community and explain how each map is used.
DATA VISUALIZATION (DV),"T8. Maps (e.g., reference vs. thematic)",Ability to view information and data and determine which type of map would best communicate that information,Application (A),Differentiate which type of map would best communicate information given the type of data.
DATA VISUALIZATION (DV),"T8. Maps (e.g., reference vs. thematic)",Ability to blend multiple map types to convey the most information without sacrificing content and meaning,MASTERY/UGP (M/U),"Construct multiple, blended map types to convey the most information without sacrificing content and meaning."
DATA VISUALIZATION (DV),"T9. Graphs (e.g., bar graph, line graph, pie chart)",Types of Graphs,Prerequisites (P),"Explain coordinate system fundamentals (such as types of graphs, how to make graphs, how certain graphs should be used, and which graph is best for showing certain types of information)."
DATA VISUALIZATION (DV),"T9. Graphs (e.g., bar graph, line graph, pie chart)",How to make graphs,Prerequisites (P),
DATA VISUALIZATION (DV),"T9. Graphs (e.g., bar graph, line graph, pie chart)",How certain graphs should be used,Prerequisites (P),
DATA VISUALIZATION (DV),"T9. Graphs (e.g., bar graph, line graph, pie chart)",Which graph is best for showing certain types of information,Prerequisites (P),
DATA VISUALIZATION (DV),"T9. Graphs (e.g., bar graph, line graph, pie chart)",The size and importance of a graph,Prerequisites (P),"Summarize effective display of graph features (e.g., size and importance of a graph and relevance to a map)."
DATA VISUALIZATION (DV),"T9. Graphs (e.g., bar graph, line graph, pie chart)",Relevance of a graph to a map,Prerequisites (P),
DATA VISUALIZATION (DV),"T9. Graphs (e.g., bar graph, line graph, pie chart)",Common types of graphs used in the Geospatial Intelligence (GEOINT) community,Application (A),Differentiate between the common types of graphs used in the Geospatial Intelligence (GEOINT) community and explain how each can be used in a map.
DATA VISUALIZATION (DV),"T9. Graphs (e.g., bar graph, line graph, pie chart)",Ability to mix graphs and maps at a mastery level,MASTERY/UGP (M/U),Group and assemble graphs and maps.
DATA VISUALIZATION (DV),"T9. Graphs (e.g., bar graph, line graph, pie chart)",Using graphs as legends,MASTERY/UGP (M/U),Establish standards for when it is appropriate to merge graphs and legends together in order to depict more information on a map.
DATA VISUALIZATION (DV),"T10. 3D Representation (e.g., anaglyph vs. polarization, hologram, model)",Basic concepts,Prerequisites (P),"Explain basic concepts of 3D representation (such as depth, perception, perspective and aspect)."
DATA VISUALIZATION (DV),"T10. 3D Representation (e.g., anaglyph vs. polarization, hologram, model)", Purpose of 3D visualization and when its use is appropriate,Foundational (F),Summarize purpose of 3D visualization and when it is appropriate to use.
DATA VISUALIZATION (DV),"T10. 3D Representation (e.g., anaglyph vs. polarization, hologram, model)",Delivery methods,Foundational (F),"Summarize understanding of 3D representation delivery methods (such as digital display, static display and video)."
DATA VISUALIZATION (DV),"T10. 3D Representation (e.g., anaglyph vs. polarization, hologram, model)","Importance of Terrain, Interpreting 3D from contour lines, and representation of modes for effective visualization of natural & social phenomena",Foundational (F),Summarize how contour lines can be used to interpret three dimensional (3D) objects.
DATA VISUALIZATION (DV),"T10. 3D Representation (e.g., anaglyph vs. polarization, hologram, model)","Importance of Terrain, Interpreting 3D from contour lines, and representation of modes for effective visualization of natural & social phenomena",Foundational (F),Summarize why understanding terrain is importance when using or developing a map.
DATA VISUALIZATION (DV),"T10. 3D Representation (e.g., anaglyph vs. polarization, hologram, model)","Importance of Terrain, Interpreting 3D from contour lines, and representation of modes for effective visualization of natural & social phenomena",Foundational (F),Outline the modes of visualizing terrain-related natural and social phenomena.
DATA VISUALIZATION (DV),"T10. 3D Representation (e.g., anaglyph vs. polarization, hologram, model)",Understanding of graphic design principles that render static products in 3D,Application (A),Differentiate between graphic design principles that add perspective to static products to transform them in 3D products.
DATA VISUALIZATION (DV),"T10. 3D Representation (e.g., anaglyph vs. polarization, hologram, model)",Ability to take data that is not inherently 3D and extrude it in 3D for perspective,MASTERY/UGP (M/U),"Create 3D elements from data that is not inherently 3D (e.g., numerical attributes) to emphasize information."
DATA VISUALIZATION (DV),"T11. Interactive (e.g., web page, story map)",Knowledge of types of Interactive media,Prerequisites (P),"Explain types of interactive media (e.g., WebMaps, WebApps, Google Application-Program Interface [API], Open Source, JavaScript Maps and Clickable Standard Vector Graphics [SVGs])."
DATA VISUALIZATION (DV),"T11. Interactive (e.g., web page, story map)",Network/Bandwidth considerations,Foundational (F),Categorize interactive mapping elements that may be affected by users’ network connection and/or bandwidth conditions.
DATA VISUALIZATION (DV),"T11. Interactive (e.g., web page, story map)",Types of Features used in interactive mapping,Foundational (F),"Summarize types of features used in interactive mapping (e.g., Keyhole Markup Language [KML], Keyhole Markup Zipped [KMZ], Web Mapping Service [WMS], Web Feature Service [WFS], feature services, image services and tiling)."
DATA VISUALIZATION (DV),"T11. Interactive (e.g., web page, story map)",How to publish these services to the web,Foundational (F),Summarize how to publish interactive mapping services to the web.
DATA VISUALIZATION (DV),"T11. Interactive (e.g., web page, story map)",Network specific security,Application (A),Differentiate between the various network specific security features and explain when each may be used.
DATA VISUALIZATION (DV),"T11. Interactive (e.g., web page, story map)",Layer and map permissions,Application (A),Compare/Contrast how to implement layer and map permissions.
DATA VISUALIZATION (DV),"T11. Interactive (e.g., web page, story map)","How to adjust symbols, popup boxes, and other attributes of the web map",Application (A),"Characterize how to adjust symbols, popup boxes, and other attributes of the web map."
DATA VISUALIZATION (DV),"T11. Interactive (e.g., web page, story map)","How to add additional functionality to web applications (widgets, etc.)",Application (A),"Distinguish how to add additional functionality to web applications (widgets, etc.)."
DATA VISUALIZATION (DV),"T11. Interactive (e.g., web page, story map)",Open Geospatial Consortium (OGC) Standards,Application (A),Characterize between Open Geospatial Consortium (OGC) standards and how they impact interactive data visualization. 
DATA VISUALIZATION (DV),"T11. Interactive (e.g., web page, story map)",Ability to write custom functions like widgets,MASTERY/UGP (M/U),Develop custom functions like widgets to add greater functionality to web apps.
